test_name,rw_type,file_size,block_size,bandwidth_MBps,iops
mdadm_raid10,read,10G,128k,8483.58,67868.118865
mdadm_raid10,read,10G,1m,12164.29,12163.763937
mdadm_raid10,read,1G,128k,7533.88,60270.562157
mdadm_raid10,read,1G,1m,11022.23,11021.699638
mdadm_raid10,read,5G,128k,11481.59,91852.202463
mdadm_raid10,read,5G,1m,9511.50,9510.974817
mdadm_raid10,write,10G,128k,4005.31,32041.999300
mdadm_raid10,write,10G,1m,5621.92,5621.389644
mdadm_raid10,write,1G,128k,3910.72,31285.278579
mdadm_raid10,write,1G,1m,5257.06,5256.532898
mdadm_raid10,write,5G,128k,3988.33,31906.157820
mdadm_raid10,write,5G,1m,1563.19,1562.673909
mdadm_raid5,read,10G,128k,1773.07,14184.040798
mdadm_raid5,read,10G,1m,1622.42,1621.887811
mdadm_raid5,read,1G,128k,1477.93,11822.925520
mdadm_raid5,read,1G,1m,1443.04,1442.511208
mdadm_raid5,read,5G,128k,1660.60,13284.302452
mdadm_raid5,read,5G,1m,1511.62,1511.090003
mdadm_raid5,write,10G,128k,1047.09,8376.187460
mdadm_raid5,write,10G,1m,1085.08,1084.552575
mdadm_raid5,write,1G,128k,927.85,7422.269258
mdadm_raid5,write,1G,1m,1101.62,1101.088206
mdadm_raid5,write,5G,128k,940.27,7521.682611
mdadm_raid5,write,5G,1m,1059.80,1059.275430
mdadm_raid6,read,10G,128k,9080.61,72644.355927
mdadm_raid6,read,10G,1m,14769.05,14768.520525
mdadm_raid6,read,1G,128k,7921.59,63372.260462
mdadm_raid6,read,1G,1m,11472.75,11472.225463
mdadm_raid6,read,5G,128k,9984.15,79872.735454
mdadm_raid6,read,5G,1m,16066.48,16065.948901
mdadm_raid6,write,10G,128k,818.45,6547.122644
mdadm_raid6,write,10G,1m,796.34,795.807156
mdadm_raid6,write,1G,128k,1044.29,8353.821539
mdadm_raid6,write,1G,1m,1083.10,1082.575076
mdadm_raid6,write,5G,128k,1104.83,8838.141426
mdadm_raid6,write,5G,1m,1174.25,1173.724647
zfs_mirror,read,10G,128k,4539.98,36319.344678
zfs_mirror,read,10G,1m,4664.62,4664.088932
zfs_mirror,read,1G,128k,5181.17,41448.892518
zfs_mirror,read,1G,1m,7203.81,7203.279945
zfs_mirror,read,5G,128k,4677.25,37417.476375
zfs_mirror,read,5G,1m,4806.60,4806.069899
zfs_mirror,write,10G,128k,1520.02,12159.697338
zfs_mirror,write,10G,1m,1592.39,1591.856802
zfs_mirror,write,1G,128k,5082.90,40662.672289
zfs_mirror,write,1G,1m,5727.27,5726.737888
zfs_mirror,write,5G,128k,1551.03,12407.776537
zfs_mirror,write,5G,1m,1516.47,1515.941401
zfs_raidz1,read,10G,128k,4511.07,36088.081865
zfs_raidz1,read,10G,1m,5318.24,5317.711371
zfs_raidz1,read,1G,128k,6066.06,48527.974534
zfs_raidz1,read,1G,1m,6185.41,6184.896918
zfs_raidz1,read,5G,128k,4668.48,37347.310878
zfs_raidz1,read,5G,1m,5482.25,5481.725305
zfs_raidz1,write,10G,128k,3319.12,26552.440793
zfs_raidz1,write,10G,1m,3534.99,3534.457759
zfs_raidz1,write,1G,128k,3119.71,24957.150714
zfs_raidz1,write,1G,1m,3439.07,3438.542691
zfs_raidz1,write,5G,128k,3084.83,24678.155364
zfs_raidz1,write,5G,1m,3600.45,3599.923335
zfs_raidz2,read,10G,128k,4468.21,35745.220913
zfs_raidz2,read,10G,1m,5356.39,5355.860736
zfs_raidz2,read,1G,128k,5823.78,46589.773504
zfs_raidz2,read,1G,1m,6804.51,6803.986600
zfs_raidz2,read,5G,128k,4470.22,35761.253979
zfs_raidz2,read,5G,1m,5117.63,5117.098048
zfs_raidz2,write,10G,128k,2249.59,17996.216730
zfs_raidz2,write,10G,1m,951.81,951.284145
zfs_raidz2,write,1G,128k,4610.13,36880.551991
zfs_raidz2,write,1G,1m,3825.85,3825.319578
zfs_raidz2,write,5G,128k,2265.01,18119.614673
zfs_raidz2,write,5G,1m,1181.31,1180.780320
